Aya Text,Sura Number,Sura Name,Aya Number,Number of Ayat,Aya Words,Aya Word Count,Aya Letter Count,Aya Sequ Order,Order,Sura Name EN,Place,Note
فإن عثر على أنهما استحقا إثما فٔاخران يقومان مقامهما من الذين استحق عليهم الأولين فيقسمان بالله لشهدتنا أحق من شهدتهما وما اعتدينا إنا إذا لمن الظلمين,5,المائدة,107,120,"['فإن', 'عثر', 'على', 'أنهما', 'استحقا', 'إثما', 'فٔاخران', 'يقومان', 'مقامهما', 'من', 'الذين', 'استحق', 'عليهم', 'الأولين', 'فيقسمان', 'بالله', 'لشهدتنا', 'أحق', 'من', 'شهدتهما', 'وما', 'اعتدينا', 'إنا', 'إذا', 'لمن', 'الظلمين']",26,150,776,112,Al-Maaida,Medina,"Except 3, revealed at Arafat on Last Hajj"
ذلك أدنى أن يأتوا بالشهدة على وجهها أو يخافوا أن ترد أيمن بعد أيمنهم واتقوا الله واسمعوا والله لا يهدى القوم الفسقين,5,المائدة,108,120,"['ذلك', 'أدنى', 'أن', 'يأتوا', 'بالشهدة', 'على', 'وجهها', 'أو', 'يخافوا', 'أن', 'ترد', 'أيمن', 'بعد', 'أيمنهم', 'واتقوا', 'الله', 'واسمعوا', 'والله', 'لا', 'يهدى', 'القوم', 'الفسقين']",22,116,777,112,Al-Maaida,Medina,"Except 3, revealed at Arafat on Last Hajj"
يوم يجمع الله الرسل فيقول ماذا أجبتم قالوا لا علم لنا إنك أنت علم الغيوب,5,المائدة,109,120,"['يوم', 'يجمع', 'الله', 'الرسل', 'فيقول', 'ماذا', 'أجبتم', 'قالوا', 'لا', 'علم', 'لنا', 'إنك', 'أنت', 'علم', 'الغيوب']",15,72,778,112,Al-Maaida,Medina,"Except 3, revealed at Arafat on Last Hajj"
إذ قال الله يعيسى ابن مريم اذكر نعمتى عليك وعلى ولدتك إذ أيدتك بروح القدس تكلم الناس فى المهد وكهلا وإذ علمتك الكتب والحكمة والتورىة والإنجيل وإذ تخلق من الطين كهئة الطير بإذنى فتنفخ فيها فتكون طيرا بإذنى وتبرئ الأكمه والأبرص بإذنى وإذ تخرج الموتى بإذنى وإذ كففت بنى إسرءيل عنك إذ جئتهم بالبينت فقال الذين كفروا منهم إن هذا إلا سحر مبين,5,المائدة,110,120,"['إذ', 'قال', 'الله', 'يعيسى', 'ابن', 'مريم', 'اذكر', 'نعمتى', 'عليك', 'وعلى', 'ولدتك', 'إذ', 'أيدتك', 'بروح', 'القدس', 'تكلم', 'الناس', 'فى', 'المهد', 'وكهلا', 'وإذ', 'علمتك', 'الكتب', 'والحكمة', 'والتورىة', 'والإنجيل', 'وإذ', 'تخلق', 'من', 'الطين', 'كهئة', 'الطير', 'بإذنى', 'فتنفخ', 'فيها', 'فتكون', 'طيرا', 'بإذنى', 'وتبرئ', 'الأكمه', 'والأبرص', 'بإذنى', 'وإذ', 'تخرج', 'الموتى', 'بإذنى', 'وإذ', 'كففت', 'بنى', 'إسرءيل', 'عنك', 'إذ', 'جئتهم', 'بالبينت', 'فقال', 'الذين', 'كفروا', 'منهم', 'إن', 'هذا', 'إلا', 'سحر', 'مبين']",63,337,779,112,Al-Maaida,Medina,"Except 3, revealed at Arafat on Last Hajj"
وإذ أوحيت إلى الحوارين أن ءامنوا بى وبرسولى قالوا ءامنا واشهد بأننا مسلمون,5,المائدة,111,120,"['وإذ', 'أوحيت', 'إلى', 'الحوارين', 'أن', 'ءامنوا', 'بى', 'وبرسولى', 'قالوا', 'ءامنا', 'واشهد', 'بأننا', 'مسلمون']",13,74,780,112,Al-Maaida,Medina,"Except 3, revealed at Arafat on Last Hajj"
إذ قال الحواريون يعيسى ابن مريم هل يستطيع ربك أن ينزل علينا مائدة من السماء قال اتقوا الله إن كنتم مؤمنين,5,المائدة,112,120,"['إذ', 'قال', 'الحواريون', 'يعيسى', 'ابن', 'مريم', 'هل', 'يستطيع', 'ربك', 'أن', 'ينزل', 'علينا', 'مائدة', 'من', 'السماء', 'قال', 'اتقوا', 'الله', 'إن', 'كنتم', 'مؤمنين']",21,105,781,112,Al-Maaida,Medina,"Except 3, revealed at Arafat on Last Hajj"
قالوا نريد أن نأكل منها وتطمئن قلوبنا ونعلم أن قد صدقتنا ونكون عليها من الشهدين,5,المائدة,113,120,"['قالوا', 'نريد', 'أن', 'نأكل', 'منها', 'وتطمئن', 'قلوبنا', 'ونعلم', 'أن', 'قد', 'صدقتنا', 'ونكون', 'عليها', 'من', 'الشهدين']",15,79,782,112,Al-Maaida,Medina,"Except 3, revealed at Arafat on Last Hajj"
قال عيسى ابن مريم اللهم ربنا أنزل علينا مائدة من السماء تكون لنا عيدا لأولنا وءاخرنا وءاية منك وارزقنا وأنت خير الرزقين,5,المائدة,114,120,"['قال', 'عيسى', 'ابن', 'مريم', 'اللهم', 'ربنا', 'أنزل', 'علينا', 'مائدة', 'من', 'السماء', 'تكون', 'لنا', 'عيدا', 'لأولنا', 'وءاخرنا', 'وءاية', 'منك', 'وارزقنا', 'وأنت', 'خير', 'الرزقين']",22,119,783,112,Al-Maaida,Medina,"Except 3, revealed at Arafat on Last Hajj"
قال الله إنى منزلها عليكم فمن يكفر بعد منكم فإنى أعذبه عذابا لا أعذبه أحدا من العلمين,5,المائدة,115,120,"['قال', 'الله', 'إنى', 'منزلها', 'عليكم', 'فمن', 'يكفر', 'بعد', 'منكم', 'فإنى', 'أعذبه', 'عذابا', 'لا', 'أعذبه', 'أحدا', 'من', 'العلمين']",17,85,784,112,Al-Maaida,Medina,"Except 3, revealed at Arafat on Last Hajj"
وإذ قال الله يعيسى ابن مريم ءأنت قلت للناس اتخذونى وأمى إلهين من دون الله قال سبحنك ما يكون لى أن أقول ما ليس لى بحق إن كنت قلته فقد علمته تعلم ما فى نفسى ولا أعلم ما فى نفسك إنك أنت علم الغيوب,5,المائدة,116,120,"['وإذ', 'قال', 'الله', 'يعيسى', 'ابن', 'مريم', 'ءأنت', 'قلت', 'للناس', 'اتخذونى', 'وأمى', 'إلهين', 'من', 'دون', 'الله', 'قال', 'سبحنك', 'ما', 'يكون', 'لى', 'أن', 'أقول', 'ما', 'ليس', 'لى', 'بحق', 'إن', 'كنت', 'قلته', 'فقد', 'علمته', 'تعلم', 'ما', 'فى', 'نفسى', 'ولا', 'أعلم', 'ما', 'فى', 'نفسك', 'إنك', 'أنت', 'علم', 'الغيوب']",44,193,785,112,Al-Maaida,Medina,"Except 3, revealed at Arafat on Last Hajj"
ما قلت لهم إلا ما أمرتنى به أن اعبدوا الله ربى وربكم وكنت عليهم شهيدا ما دمت فيهم فلما توفيتنى كنت أنت الرقيب عليهم وأنت على كل شىء شهيد,5,المائدة,117,120,"['ما', 'قلت', 'لهم', 'إلا', 'ما', 'أمرتنى', 'به', 'أن', 'اعبدوا', 'الله', 'ربى', 'وربكم', 'وكنت', 'عليهم', 'شهيدا', 'ما', 'دمت', 'فيهم', 'فلما', 'توفيتنى', 'كنت', 'أنت', 'الرقيب', 'عليهم', 'وأنت', 'على', 'كل', 'شىء', 'شهيد']",29,136,786,112,Al-Maaida,Medina,"Except 3, revealed at Arafat on Last Hajj"
إن تعذبهم فإنهم عبادك وإن تغفر لهم فإنك أنت العزيز الحكيم,5,المائدة,118,120,"['إن', 'تعذبهم', 'فإنهم', 'عبادك', 'وإن', 'تغفر', 'لهم', 'فإنك', 'أنت', 'العزيز', 'الحكيم']",11,57,787,112,Al-Maaida,Medina,"Except 3, revealed at Arafat on Last Hajj"
قال الله هذا يوم ينفع الصدقين صدقهم لهم جنت تجرى من تحتها الأنهر خلدين فيها أبدا رضى الله عنهم ورضوا عنه ذلك الفوز العظيم,5,المائدة,119,120,"['قال', 'الله', 'هذا', 'يوم', 'ينفع', 'الصدقين', 'صدقهم', 'لهم', 'جنت', 'تجرى', 'من', 'تحتها', 'الأنهر', 'خلدين', 'فيها', 'أبدا', 'رضى', 'الله', 'عنهم', 'ورضوا', 'عنه', 'ذلك', 'الفوز', 'العظيم']",24,121,788,112,Al-Maaida,Medina,"Except 3, revealed at Arafat on Last Hajj"
لله ملك السموت والأرض وما فيهن وهو على كل شىء قدير,5,المائدة,120,120,"['لله', 'ملك', 'السموت', 'والأرض', 'وما', 'فيهن', 'وهو', 'على', 'كل', 'شىء', 'قدير']",11,50,789,112,Al-Maaida,Medina,"Except 3, revealed at Arafat on Last Hajj"
الحمد لله الذى خلق السموت والأرض وجعل الظلمت والنور ثم الذين كفروا بربهم يعدلون,6,الأنعام,1,165,"['الحمد', 'لله', 'الذى', 'خلق', 'السموت', 'والأرض', 'وجعل', 'الظلمت', 'والنور', 'ثم', 'الذين', 'كفروا', 'بربهم', 'يعدلون']",14,79,790,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
هو الذى خلقكم من طين ثم قضى أجلا وأجل مسمى عنده ثم أنتم تمترون,6,الأنعام,2,165,"['هو', 'الذى', 'خلقكم', 'من', 'طين', 'ثم', 'قضى', 'أجلا', 'وأجل', 'مسمى', 'عنده', 'ثم', 'أنتم', 'تمترون']",14,62,791,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
وهو الله فى السموت وفى الأرض يعلم سركم وجهركم ويعلم ما تكسبون,6,الأنعام,3,165,"['وهو', 'الله', 'فى', 'السموت', 'وفى', 'الأرض', 'يعلم', 'سركم', 'وجهركم', 'ويعلم', 'ما', 'تكسبون']",12,61,792,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
وما تأتيهم من ءاية من ءايت ربهم إلا كانوا عنها معرضين,6,الأنعام,4,165,"['وما', 'تأتيهم', 'من', 'ءاية', 'من', 'ءايت', 'ربهم', 'إلا', 'كانوا', 'عنها', 'معرضين']",11,53,793,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
فقد كذبوا بالحق لما جاءهم فسوف يأتيهم أنبؤا ما كانوا به يستهزءون,6,الأنعام,5,165,"['فقد', 'كذبوا', 'بالحق', 'لما', 'جاءهم', 'فسوف', 'يأتيهم', 'أنبؤا', 'ما', 'كانوا', 'به', 'يستهزءون']",12,64,794,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
ألم يروا كم أهلكنا من قبلهم من قرن مكنهم فى الأرض ما لم نمكن لكم وأرسلنا السماء عليهم مدرارا وجعلنا الأنهر تجرى من تحتهم فأهلكنهم بذنوبهم وأنشأنا من بعدهم قرنا ءاخرين,6,الأنعام,6,165,"['ألم', 'يروا', 'كم', 'أهلكنا', 'من', 'قبلهم', 'من', 'قرن', 'مكنهم', 'فى', 'الأرض', 'ما', 'لم', 'نمكن', 'لكم', 'وأرسلنا', 'السماء', 'عليهم', 'مدرارا', 'وجعلنا', 'الأنهر', 'تجرى', 'من', 'تحتهم', 'فأهلكنهم', 'بذنوبهم', 'وأنشأنا', 'من', 'بعدهم', 'قرنا', 'ءاخرين']",31,166,795,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
ولو نزلنا عليك كتبا فى قرطاس فلمسوه بأيديهم لقال الذين كفروا إن هذا إلا سحر مبين,6,الأنعام,7,165,"['ولو', 'نزلنا', 'عليك', 'كتبا', 'فى', 'قرطاس', 'فلمسوه', 'بأيديهم', 'لقال', 'الذين', 'كفروا', 'إن', 'هذا', 'إلا', 'سحر', 'مبين']",16,80,796,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
وقالوا لولا أنزل عليه ملك ولو أنزلنا ملكا لقضى الأمر ثم لا ينظرون,6,الأنعام,8,165,"['وقالوا', 'لولا', 'أنزل', 'عليه', 'ملك', 'ولو', 'أنزلنا', 'ملكا', 'لقضى', 'الأمر', 'ثم', 'لا', 'ينظرون']",13,65,797,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
ولو جعلنه ملكا لجعلنه رجلا وللبسنا عليهم ما يلبسون,6,الأنعام,9,165,"['ولو', 'جعلنه', 'ملكا', 'لجعلنه', 'رجلا', 'وللبسنا', 'عليهم', 'ما', 'يلبسون']",9,50,798,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
ولقد استهزئ برسل من قبلك فحاق بالذين سخروا منهم ما كانوا به يستهزءون,6,الأنعام,10,165,"['ولقد', 'استهزئ', 'برسل', 'من', 'قبلك', 'فحاق', 'بالذين', 'سخروا', 'منهم', 'ما', 'كانوا', 'به', 'يستهزءون']",13,68,799,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
قل سيروا فى الأرض ثم انظروا كيف كان عقبة المكذبين,6,الأنعام,11,165,"['قل', 'سيروا', 'فى', 'الأرض', 'ثم', 'انظروا', 'كيف', 'كان', 'عقبة', 'المكذبين']",10,49,800,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
قل لمن ما فى السموت والأرض قل لله كتب على نفسه الرحمة ليجمعنكم إلى يوم القيمة لا ريب فيه الذين خسروا أنفسهم فهم لا يؤمنون,6,الأنعام,12,165,"['قل', 'لمن', 'ما', 'فى', 'السموت', 'والأرض', 'قل', 'لله', 'كتب', 'على', 'نفسه', 'الرحمة', 'ليجمعنكم', 'إلى', 'يوم', 'القيمة', 'لا', 'ريب', 'فيه', 'الذين', 'خسروا', 'أنفسهم', 'فهم', 'لا', 'يؤمنون']",25,121,801,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
وله ما سكن فى اليل والنهار وهو السميع العليم,6,الأنعام,13,165,"['وله', 'ما', 'سكن', 'فى', 'اليل', 'والنهار', 'وهو', 'السميع', 'العليم']",9,44,802,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
قل أغير الله أتخذ وليا فاطر السموت والأرض وهو يطعم ولا يطعم قل إنى أمرت أن أكون أول من أسلم ولا تكونن من المشركين,6,الأنعام,14,165,"['قل', 'أغير', 'الله', 'أتخذ', 'وليا', 'فاطر', 'السموت', 'والأرض', 'وهو', 'يطعم', 'ولا', 'يطعم', 'قل', 'إنى', 'أمرت', 'أن', 'أكون', 'أول', 'من', 'أسلم', 'ولا', 'تكونن', 'من', 'المشركين']",24,113,803,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
قل إنى أخاف إن عصيت ربى عذاب يوم عظيم,6,الأنعام,15,165,"['قل', 'إنى', 'أخاف', 'إن', 'عصيت', 'ربى', 'عذاب', 'يوم', 'عظيم']",9,37,804,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
من يصرف عنه يومئذ فقد رحمه وذلك الفوز المبين,6,الأنعام,16,165,"['من', 'يصرف', 'عنه', 'يومئذ', 'فقد', 'رحمه', 'وذلك', 'الفوز', 'المبين']",9,44,805,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
وإن يمسسك الله بضر فلا كاشف له إلا هو وإن يمسسك بخير فهو على كل شىء قدير,6,الأنعام,17,165,"['وإن', 'يمسسك', 'الله', 'بضر', 'فلا', 'كاشف', 'له', 'إلا', 'هو', 'وإن', 'يمسسك', 'بخير', 'فهو', 'على', 'كل', 'شىء', 'قدير']",17,72,806,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
وهو القاهر فوق عباده وهو الحكيم الخبير,6,الأنعام,18,165,"['وهو', 'القاهر', 'فوق', 'عباده', 'وهو', 'الحكيم', 'الخبير']",7,38,807,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
قل أى شىء أكبر شهدة قل الله شهيد بينى وبينكم وأوحى إلى هذا القرءان لأنذركم به ومن بلغ أئنكم لتشهدون أن مع الله ءالهة أخرى قل لا أشهد قل إنما هو إله وحد وإننى برىء مما تشركون,6,الأنعام,19,165,"['قل', 'أى', 'شىء', 'أكبر', 'شهدة', 'قل', 'الله', 'شهيد', 'بينى', 'وبينكم', 'وأوحى', 'إلى', 'هذا', 'القرءان', 'لأنذركم', 'به', 'ومن', 'بلغ', 'أئنكم', 'لتشهدون', 'أن', 'مع', 'الله', 'ءالهة', 'أخرى', 'قل', 'لا', 'أشهد', 'قل', 'إنما', 'هو', 'إله', 'وحد', 'وإننى', 'برىء', 'مما', 'تشركون']",37,173,808,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
الذين ءاتينهم الكتب يعرفونه كما يعرفون أبناءهم الذين خسروا أنفسهم فهم لا يؤمنون,6,الأنعام,20,165,"['الذين', 'ءاتينهم', 'الكتب', 'يعرفونه', 'كما', 'يعرفون', 'أبناءهم', 'الذين', 'خسروا', 'أنفسهم', 'فهم', 'لا', 'يؤمنون']",13,79,809,55,Al-An'aam,Medina,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
ومن أظلم ممن افترى على الله كذبا أو كذب بٔايته إنه لا يفلح الظلمون,6,الأنعام,21,165,"['ومن', 'أظلم', 'ممن', 'افترى', 'على', 'الله', 'كذبا', 'أو', 'كذب', 'بٔايته', 'إنه', 'لا', 'يفلح', 'الظلمون']",14,66,810,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
ويوم نحشرهم جميعا ثم نقول للذين أشركوا أين شركاؤكم الذين كنتم تزعمون,6,الأنعام,22,165,"['ويوم', 'نحشرهم', 'جميعا', 'ثم', 'نقول', 'للذين', 'أشركوا', 'أين', 'شركاؤكم', 'الذين', 'كنتم', 'تزعمون']",12,68,811,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
ثم لم تكن فتنتهم إلا أن قالوا والله ربنا ما كنا مشركين,6,الأنعام,23,165,"['ثم', 'لم', 'تكن', 'فتنتهم', 'إلا', 'أن', 'قالوا', 'والله', 'ربنا', 'ما', 'كنا', 'مشركين']",12,54,812,55,Al-An'aam,Medina,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
انظر كيف كذبوا على أنفسهم وضل عنهم ما كانوا يفترون,6,الأنعام,24,165,"['انظر', 'كيف', 'كذبوا', 'على', 'أنفسهم', 'وضل', 'عنهم', 'ما', 'كانوا', 'يفترون']",10,50,813,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
ومنهم من يستمع إليك وجعلنا على قلوبهم أكنة أن يفقهوه وفى ءاذانهم وقرا وإن يروا كل ءاية لا يؤمنوا بها حتى إذا جاءوك يجدلونك يقول الذين كفروا إن هذا إلا أسطير الأولين,6,الأنعام,25,165,"['ومنهم', 'من', 'يستمع', 'إليك', 'وجعلنا', 'على', 'قلوبهم', 'أكنة', 'أن', 'يفقهوه', 'وفى', 'ءاذانهم', 'وقرا', 'وإن', 'يروا', 'كل', 'ءاية', 'لا', 'يؤمنوا', 'بها', 'حتى', 'إذا', 'جاءوك', 'يجدلونك', 'يقول', 'الذين', 'كفروا', 'إن', 'هذا', 'إلا', 'أسطير', 'الأولين']",32,164,814,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
وهم ينهون عنه وينٔون عنه وإن يهلكون إلا أنفسهم وما يشعرون,6,الأنعام,26,165,"['وهم', 'ينهون', 'عنه', 'وينٔون', 'عنه', 'وإن', 'يهلكون', 'إلا', 'أنفسهم', 'وما', 'يشعرون']",11,57,815,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
ولو ترى إذ وقفوا على النار فقالوا يليتنا نرد ولا نكذب بٔايت ربنا ونكون من المؤمنين,6,الأنعام,27,165,"['ولو', 'ترى', 'إذ', 'وقفوا', 'على', 'النار', 'فقالوا', 'يليتنا', 'نرد', 'ولا', 'نكذب', 'بٔايت', 'ربنا', 'ونكون', 'من', 'المؤمنين']",16,82,816,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
بل بدا لهم ما كانوا يخفون من قبل ولو ردوا لعادوا لما نهوا عنه وإنهم لكذبون,6,الأنعام,28,165,"['بل', 'بدا', 'لهم', 'ما', 'كانوا', 'يخفون', 'من', 'قبل', 'ولو', 'ردوا', 'لعادوا', 'لما', 'نهوا', 'عنه', 'وإنهم', 'لكذبون']",16,74,817,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
وقالوا إن هى إلا حياتنا الدنيا وما نحن بمبعوثين,6,الأنعام,29,165,"['وقالوا', 'إن', 'هى', 'إلا', 'حياتنا', 'الدنيا', 'وما', 'نحن', 'بمبعوثين']",9,47,818,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
ولو ترى إذ وقفوا على ربهم قال أليس هذا بالحق قالوا بلى وربنا قال فذوقوا العذاب بما كنتم تكفرون,6,الأنعام,30,165,"['ولو', 'ترى', 'إذ', 'وقفوا', 'على', 'ربهم', 'قال', 'أليس', 'هذا', 'بالحق', 'قالوا', 'بلى', 'وربنا', 'قال', 'فذوقوا', 'العذاب', 'بما', 'كنتم', 'تكفرون']",19,94,819,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
قد خسر الذين كذبوا بلقاء الله حتى إذا جاءتهم الساعة بغتة قالوا يحسرتنا على ما فرطنا فيها وهم يحملون أوزارهم على ظهورهم ألا ساء ما يزرون,6,الأنعام,31,165,"['قد', 'خسر', 'الذين', 'كذبوا', 'بلقاء', 'الله', 'حتى', 'إذا', 'جاءتهم', 'الساعة', 'بغتة', 'قالوا', 'يحسرتنا', 'على', 'ما', 'فرطنا', 'فيها', 'وهم', 'يحملون', 'أوزارهم', 'على', 'ظهورهم', 'ألا', 'ساء', 'ما', 'يزرون']",26,135,820,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
وما الحيوة الدنيا إلا لعب ولهو وللدار الءاخرة خير للذين يتقون أفلا تعقلون,6,الأنعام,32,165,"['وما', 'الحيوة', 'الدنيا', 'إلا', 'لعب', 'ولهو', 'وللدار', 'الءاخرة', 'خير', 'للذين', 'يتقون', 'أفلا', 'تعقلون']",13,73,821,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
قد نعلم إنه ليحزنك الذى يقولون فإنهم لا يكذبونك ولكن الظلمين بٔايت الله يجحدون,6,الأنعام,33,165,"['قد', 'نعلم', 'إنه', 'ليحزنك', 'الذى', 'يقولون', 'فإنهم', 'لا', 'يكذبونك', 'ولكن', 'الظلمين', 'بٔايت', 'الله', 'يجحدون']",14,78,822,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
ولقد كذبت رسل من قبلك فصبروا على ما كذبوا وأوذوا حتى أتىهم نصرنا ولا مبدل لكلمت الله ولقد جاءك من نبإى المرسلين,6,الأنعام,34,165,"['ولقد', 'كذبت', 'رسل', 'من', 'قبلك', 'فصبروا', 'على', 'ما', 'كذبوا', 'وأوذوا', 'حتى', 'أتىهم', 'نصرنا', 'ولا', 'مبدل', 'لكلمت', 'الله', 'ولقد', 'جاءك', 'من', 'نبإى', 'المرسلين']",22,111,823,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
وإن كان كبر عليك إعراضهم فإن استطعت أن تبتغى نفقا فى الأرض أو سلما فى السماء فتأتيهم بٔاية ولو شاء الله لجمعهم على الهدى فلا تكونن من الجهلين,6,الأنعام,35,165,"['وإن', 'كان', 'كبر', 'عليك', 'إعراضهم', 'فإن', 'استطعت', 'أن', 'تبتغى', 'نفقا', 'فى', 'الأرض', 'أو', 'سلما', 'فى', 'السماء', 'فتأتيهم', 'بٔاية', 'ولو', 'شاء', 'الله', 'لجمعهم', 'على', 'الهدى', 'فلا', 'تكونن', 'من', 'الجهلين']",28,141,824,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
إنما يستجيب الذين يسمعون والموتى يبعثهم الله ثم إليه يرجعون,6,الأنعام,36,165,"['إنما', 'يستجيب', 'الذين', 'يسمعون', 'والموتى', 'يبعثهم', 'الله', 'ثم', 'إليه', 'يرجعون']",10,59,825,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
وقالوا لولا نزل عليه ءاية من ربه قل إن الله قادر على أن ينزل ءاية ولكن أكثرهم لا يعلمون,6,الأنعام,37,165,"['وقالوا', 'لولا', 'نزل', 'عليه', 'ءاية', 'من', 'ربه', 'قل', 'إن', 'الله', 'قادر', 'على', 'أن', 'ينزل', 'ءاية', 'ولكن', 'أكثرهم', 'لا', 'يعلمون']",19,87,826,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
وما من دابة فى الأرض ولا طئر يطير بجناحيه إلا أمم أمثالكم ما فرطنا فى الكتب من شىء ثم إلى ربهم يحشرون,6,الأنعام,38,165,"['وما', 'من', 'دابة', 'فى', 'الأرض', 'ولا', 'طئر', 'يطير', 'بجناحيه', 'إلا', 'أمم', 'أمثالكم', 'ما', 'فرطنا', 'فى', 'الكتب', 'من', 'شىء', 'ثم', 'إلى', 'ربهم', 'يحشرون']",22,101,827,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
والذين كذبوا بٔايتنا صم وبكم فى الظلمت من يشإ الله يضلله ومن يشأ يجعله على صرط مستقيم,6,الأنعام,39,165,"['والذين', 'كذبوا', 'بٔايتنا', 'صم', 'وبكم', 'فى', 'الظلمت', 'من', 'يشإ', 'الله', 'يضلله', 'ومن', 'يشأ', 'يجعله', 'على', 'صرط', 'مستقيم']",17,85,828,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
قل أرءيتكم إن أتىكم عذاب الله أو أتتكم الساعة أغير الله تدعون إن كنتم صدقين,6,الأنعام,40,165,"['قل', 'أرءيتكم', 'إن', 'أتىكم', 'عذاب', 'الله', 'أو', 'أتتكم', 'الساعة', 'أغير', 'الله', 'تدعون', 'إن', 'كنتم', 'صدقين']",15,75,829,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
بل إياه تدعون فيكشف ما تدعون إليه إن شاء وتنسون ما تشركون,6,الأنعام,41,165,"['بل', 'إياه', 'تدعون', 'فيكشف', 'ما', 'تدعون', 'إليه', 'إن', 'شاء', 'وتنسون', 'ما', 'تشركون']",12,57,830,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
ولقد أرسلنا إلى أمم من قبلك فأخذنهم بالبأساء والضراء لعلهم يتضرعون,6,الأنعام,42,165,"['ولقد', 'أرسلنا', 'إلى', 'أمم', 'من', 'قبلك', 'فأخذنهم', 'بالبأساء', 'والضراء', 'لعلهم', 'يتضرعون']",11,66,831,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
فلولا إذ جاءهم بأسنا تضرعوا ولكن قست قلوبهم وزين لهم الشيطن ما كانوا يعملون,6,الأنعام,43,165,"['فلولا', 'إذ', 'جاءهم', 'بأسنا', 'تضرعوا', 'ولكن', 'قست', 'قلوبهم', 'وزين', 'لهم', 'الشيطن', 'ما', 'كانوا', 'يعملون']",14,75,832,55,Al-An'aam,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
